HYD_YEAR,Q
3174,8190.31
3175,13443.56
3176,9772.2
3177,13831.75
3178,3726.35
3179,7226.48
3180,6448.24
3181,6108.08
3182,7280.13
3183,3549.31
3184,6495.77
3185,8329.39
3186,2103.19
3187,4876.49
3188,3684.59
3189,6863.65
3190,3200.53
3191,4600.0
3192,4889.74
3193,7838.07
3194,4652.74
3195,3501.45
3196,5860.68
3197,5106.68
3198,6455.36
3199,3837.1
3200,7233.1
3201,6337.99
3202,6172.5
3203,4490.62
3204,5348.54
3205,6213.16
3206,5590.39
3207,5264.21
3208,4286.02
3209,3712.84
3210,5875.39
3211,6949.74
3212,2829.45
3213,7823.37
3214,4912.69
3215,4215.84
3216,5400.95
3217,4684.46
3218,3586.72
3219,2751.29
3220,4233.45
3221,6106.66
3222,5157.24
3223,6590.78
3224,7143.54
3225,8946.4
3226,4432.43
3227,6914.17
3228,6106.17
3229,5698.44
3230,4384.08
3231,6456.0
3232,3492.14
3233,7085.56
3234,4148.88
3235,2068.46
3236,2683.32
3237,3837.72
3238,11549.92
3239,4721.37
3240,4058.25
3241,9434.37
3242,8694.32
3243,8008.54
3244,3439.68
3245,10528.73
3246,10736.25
3247,5938.65
3248,6832.21
3249,12464.72
3250,5245.29
3251,5489.43
3252,6654.79
3253,5121.12
3254,8263.48
3255,4538.72
3256,6855.17
3257,4425.82
3258,8269.39
3259,5272.1
3260,3777.94
3261,3639.8
3262,4710.75
3263,5209.39
3264,6903.44
3265,6190.62
3266,5245.05
3267,8333.42
3268,7759.96
3269,8487.36
3270,8049.25
3271,6661.68
3272,3950.49
3273,7407.46
3274,9190.07
3275,15760.42
3276,5812.1
3277,6252.46
3278,3714.75
3279,7084.26
3280,9594.84
3281,4376.21
3282,4390.41
3283,6973.6
3284,2025.27
3285,6224.87
3286,5370.56
3287,3737.1
3288,5474.34
3289,3804.87
3290,15743.53
3291,6932.53
3292,3258.32
3293,8833.01
3294,5219.42
3295,3954.51
3296,7191.53
3297,5759.99
3298,4015.03
3299,3839.43
3300,3769.92
3301,6009.77
3302,9175.71
3303,8067.98
3304,4540.73
3305,2774.88
3306,5870.67
3307,4715.86
3308,4349.5
3309,6117.04
3310,7699.11
3311,5128.47
3312,4013.25
3313,12126.89
3314,4710.19
3315,5135.1
3316,8271.52
3317,8024.34
3318,7024.35
3319,8299.33
3320,8035.29
3321,2412.01
3322,7140.57
